Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Cast iron,"Steels-Carbon, Low Alloy",6,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.38,Industrial (Acidic Rain),0.1,1.285,0.3,1.0,0.041078,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.99,Marine (Seawater),5.0,0.06,0.1,2.0,0.02483,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.38,Marine (Seawater),5.0,1.188,0.3,1.0,0.299983,Unfavorable
Lead,Lead,7,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.29,Rural (Freshwater),0.01,0.729,0.3,1.0,0.001963,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.85,Industrial (Acidic Rain),0.1,5.246,0.1,1.0,0.397783,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.28,Industrial (Acidic Rain),0.1,1.288,2.0,10.0,0.016209,Compatible
Silver solder,Silver,18,Titanium,Titanium,17,0.2,Industrial (Acidic Rain),0.1,0.77,10.0,10.0,0.005178,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.03,Marine (Seawater),5.0,39.57,1.0,1.0,0.54187,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (active),"Nickel, Cobalt",16,0.18,Rural (Freshwater),0.01,11.026,5.0,2.0,0.016527,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead,Lead,7,0.06,Rural (Freshwater),0.01,3.881,5.0,0.3,0.002287,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.58,Rural (Freshwater),0.01,1.589,0.1,1.0,0.008335,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.16,Marine (Seawater),5.0,0.372,5.0,10.0,0.003961,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver solder,Silver,18,0.55,Industrial (Acidic Rain),0.1,0.392,0.1,10.0,0.010574,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.11,Rural (Freshwater),0.01,0.179,1.0,2.0,0.000201,Compatible
Cadmium,"Cadmium, Beryllium",3,Cast iron,"Steels-Carbon, Low Alloy",6,0.09,Rural (Freshwater),0.01,0.094,0.1,0.3,8.1e-05,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.24,Rural (Freshwater),0.01,28.679,0.3,1.0,0.065245,Compatible
Nickel (active),"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.23,Industrial (Acidic Rain),0.1,0.533,2.0,1.0,0.009635,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.61,Industrial (Acidic Rain),0.1,3.803,0.1,5.0,0.158229,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.27,Industrial (Acidic Rain),0.1,0.575,0.3,1.0,0.014599,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.39,Rural (Freshwater),0.01,0.214,5.0,1.0,0.000755,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.49,Rural (Freshwater),0.01,1.87,0.3,2.0,0.009268,Unfavorable
Lead,Lead,7,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.3,Marine (Seawater),5.0,0.745,0.3,1.0,0.150298,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.38,Marine (Seawater),5.0,24.444,0.3,2.0,4.138008,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Lead,Lead,7,0.26,Rural (Freshwater),0.01,2.775,0.1,0.3,0.006756,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.45,Marine (Seawater),5.0,0.63,5.0,1.0,0.044697,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.16,Rural (Freshwater),0.01,0.076,2.0,1.0,0.000108,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Marine (Seawater),5.0,0.755,0.3,2.0,0.083073,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.18,Rural (Freshwater),0.01,0.656,1.0,10.0,0.001012,Compatible
Lead,Lead,7,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.42,Industrial (Acidic Rain),0.1,7.029,0.3,5.0,0.180602,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.51,Rural (Freshwater),0.01,0.458,0.1,1.0,0.002023,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Lead,Lead,7,0.14,Industrial (Acidic Rain),0.1,6.893,0.3,0.3,0.091824,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Silver solder,Silver,18,0.36,Marine (Seawater),5.0,0.135,0.3,10.0,0.004727,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.92,Industrial (Acidic Rain),0.1,0.229,0.1,10.0,0.010914,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Gold,"Palladium, Rhodium, Gold, Platinum",19,1.76,Marine (Seawater),5.0,0.774,0.1,10.0,0.13692,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.69,Marine (Seawater),5.0,0.704,5.0,10.0,0.031454,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,1.42,Rural (Freshwater),0.01,3.009,0.1,1.0,0.039203,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Industrial (Acidic Rain),0.1,0.442,2.0,10.0,0.009153,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.02,Industrial (Acidic Rain),0.1,0.988,1.0,1.0,0.001628,Compatible
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.01,Industrial (Acidic Rain),0.1,0.125,5.0,2.0,7.1e-05,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Titanium,Titanium,17,0.24,Industrial (Acidic Rain),0.1,0.362,1.0,10.0,0.003911,Compatible
Lead,Lead,7,Nickel (passive),"Nickel, Cobalt",16,0.35,Marine (Seawater),5.0,0.652,0.3,2.0,0.094936,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Chlorimet 2,"Nickel, Cobalt",16,0.29,Rural (Freshwater),0.01,5.949,5.0,2.0,0.015551,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.33,Industrial (Acidic Rain),0.1,2.351,1.0,10.0,0.03752,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Tin,"Tin, Tin-Lead, Indium",8,0.13,Rural (Freshwater),0.01,0.455,0.3,0.3,0.000586,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.54,Rural (Freshwater),0.01,1.788,0.1,1.0,0.008894,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Steel or iron,"Steels-Carbon, Low Alloy",6,0.08,Industrial (Acidic Rain),0.1,1.854,0.1,0.3,0.013417,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Rural (Freshwater),0.01,1.793,2.0,10.0,0.005188,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,0.479,5.0,2.0,0.012381,Compatible
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,1.5,Industrial (Acidic Rain),0.1,0.122,0.1,5.0,0.0122,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.08,Marine (Seawater),5.0,1.225,1.0,5.0,0.016632,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.53,Industrial (Acidic Rain),0.1,3.953,0.1,1.0,0.210561,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.12,Marine (Seawater),5.0,0.969,1.0,5.0,0.017359,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.18,Rural (Freshwater),0.01,0.66,1.0,10.0,0.00112,Compatible
Nickel (passive),"Nickel, Cobalt",16,Graphite,Graphite,20,0.25,Marine (Seawater),5.0,0.09,2.0,10.0,0.001807,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Graphite,Graphite,20,0.25,Marine (Seawater),5.0,1.015,1.0,10.0,0.021907,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,0.363,0.3,2.0,0.028283,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Cadmium,"Cadmium, Beryllium",3,0.03,Rural (Freshwater),0.01,6.693,0.1,0.1,0.002122,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Marine (Seawater),5.0,2.152,5.0,10.0,0.112913,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Rural (Freshwater),0.01,0.274,5.0,10.0,0.001863,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.03,Rural (Freshwater),0.01,1.382,5.0,0.3,0.000397,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.11,Rural (Freshwater),0.01,2.709,0.3,0.3,0.0029,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.14,Rural (Freshwater),0.01,0.841,5.0,10.0,0.001075,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.06,Marine (Seawater),5.0,10.468,5.0,2.0,0.092531,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Rural (Freshwater),0.01,1.107,2.0,10.0,0.00378,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Lead,Lead,7,1.13,Industrial (Acidic Rain),0.1,0.388,0.1,0.3,0.040721,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.3,Marine (Seawater),5.0,0.924,0.3,2.0,0.107746,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Titanium,Titanium,17,0.1,Rural (Freshwater),0.01,0.049,2.0,10.0,4.3e-05,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Rural (Freshwater),0.01,0.279,1.0,5.0,0.000104,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.07,Rural (Freshwater),0.01,3.213,5.0,0.3,0.002101,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.38,Industrial (Acidic Rain),0.1,0.434,0.3,1.0,0.014034,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Titanium,Titanium,17,0.34,Industrial (Acidic Rain),0.1,9.361,2.0,10.0,0.14696,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Industrial (Acidic Rain),0.1,1.668,5.0,1.0,0.035046,Compatible
Inconel (active),"Nickel, Cobalt",16,Silver,Silver,18,0.39,Marine (Seawater),5.0,0.656,2.0,10.0,0.019568,Compatible
Zinc,"Zinc, Zinc Coating",2,Nickel (active),"Nickel, Cobalt",16,0.68,Rural (Freshwater),0.01,1.929,0.1,2.0,0.012423,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.25,Industrial (Acidic Rain),0.1,0.523,2.0,5.0,0.007314,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver,Silver,18,0.57,Marine (Seawater),5.0,7.362,5.0,10.0,0.282234,Compatible
Zinc,"Zinc, Zinc Coating",2,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.85,Rural (Freshwater),0.01,18.035,0.1,1.0,0.153047,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Silver,Silver,18,0.21,Industrial (Acidic Rain),0.1,0.3,1.0,10.0,0.003091,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Nickel (passive),"Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,0.288,0.3,2.0,0.001079,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Graphite,Graphite,20,0.68,Industrial (Acidic Rain),0.1,3.279,0.3,10.0,0.10132,Unfavorable
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.21,Industrial (Acidic Rain),0.1,0.518,1.0,10.0,0.005368,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Copper,"Copper-High Nickel, Monel",15,0.53,Rural (Freshwater),0.01,5.273,0.1,1.0,0.025888,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.25,Industrial (Acidic Rain),0.1,0.599,0.3,1.0,0.012461,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.43,Rural (Freshwater),0.01,48.093,0.3,2.0,0.187745,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.14,Industrial (Acidic Rain),0.1,1.67,5.0,10.0,0.009754,Compatible
Cadmium,"Cadmium, Beryllium",3,Copper,"Copper-High Nickel, Monel",15,0.5,Marine (Seawater),5.0,2.345,0.1,1.0,0.842225,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Titanium,Titanium,17,1.66,Marine (Seawater),5.0,0.042,0.1,10.0,0.007047,Unfavorable
Silver solder,Silver,18,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.02,Industrial (Acidic Rain),0.1,0.07,10.0,1.0,7.1e-05,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Copper,"Copper-High Nickel, Monel",15,0.13,Marine (Seawater),5.0,0.518,2.0,1.0,0.021376,Compatible
Magnesium and magnesium alloys,Magnesium,1,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,1.56,Marine (Seawater),5.0,0.491,0.1,2.0,0.302135,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.13,Marine (Seawater),5.0,0.445,1.0,5.0,0.009194,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.46,Rural (Freshwater),0.01,6.083,0.3,2.0,0.026944,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Tin,"Tin, Tin-Lead, Indium",8,0.27,Marine (Seawater),5.0,0.482,0.1,0.3,0.226043,Unfavorable
Lead,Lead,7,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.69,Marine (Seawater),5.0,0.482,0.3,10.0,0.034836,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.06,Rural (Freshwater),0.01,1.12,1.0,1.0,0.000727,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Inconel (active),"Nickel, Cobalt",16,0.22,Marine (Seawater),5.0,2.162,5.0,2.0,0.065136,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver solder,Silver,18,0.55,Rural (Freshwater),0.01,1.61,0.1,10.0,0.008401,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Inconel (active),"Nickel, Cobalt",16,1.25,Industrial (Acidic Rain),0.1,0.987,0.1,2.0,0.100809,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Marine (Seawater),5.0,2.503,1.0,5.0,0.007825,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Nickel (active),"Nickel, Cobalt",16,0.15,Industrial (Acidic Rain),0.1,0.056,0.3,2.0,0.000681,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Copper,"Copper-High Nickel, Monel",15,0.13,Rural (Freshwater),0.01,1.682,2.0,1.0,0.002247,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Silver,Silver,18,0.46,Rural (Freshwater),0.01,2.585,0.3,10.0,0.010811,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.49,Marine (Seawater),5.0,3.559,5.0,2.0,0.234501,Compatible
Lead,Lead,7,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.39,Industrial (Acidic Rain),0.1,0.204,0.3,5.0,0.005638,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.24,Industrial (Acidic Rain),0.1,0.375,0.3,1.0,0.008227,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.49,Industrial (Acidic Rain),0.1,1.096,5.0,2.0,0.030627,Compatible
Lead,Lead,7,Tin,"Tin, Tin-Lead, Indium",8,0.05,Rural (Freshwater),0.01,2.01,0.3,0.3,0.001031,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.59,Marine (Seawater),5.0,1.703,0.1,5.0,0.18939,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.11,Industrial (Acidic Rain),0.1,1.37,0.3,0.3,0.014897,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.16,Rural (Freshwater),0.01,0.282,0.1,5.0,0.000462,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.08,Marine (Seawater),5.0,0.099,0.3,5.0,0.001398,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.58,Rural (Freshwater),0.01,0.958,0.1,1.0,0.005562,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.34,Marine (Seawater),5.0,7.919,0.1,0.1,7.010382,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.43,Industrial (Acidic Rain),0.1,0.564,0.3,2.0,0.018696,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Titanium,Titanium,17,0.26,Industrial (Acidic Rain),0.1,0.535,1.0,10.0,0.006806,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,0.04,Rural (Freshwater),0.01,1.818,0.3,5.0,0.000645,Compatible
